Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
CLTN.SW,COLTENE Holding AG,291.90M,48.65,,Medical Instruments & Supplies,,,
MIKN.SW,Mikron Holding AG,287.03M,17.20,,Specialty Industrial Machinery,,,
BCJ.SW,Banque Cantonale du Jura SA,273.87M,91.50,,Banks - Regional,,,
ARBN.SW,Arbonia AG,273.72M,3.920,,Building Products & Equipment,,,
KOMN.SW,Komax Holding AG,273.16M,53.80,,Specialty Industrial Machinery,,,
PEAN.SW,Peach Property Group AG,267.12M,4.810,,Real Estate Services,,,
LEON.SW,Leonteq AG,259.89M,14.92,,Asset Management,,,
VZUG.SW,V-ZUG Holding AG,256.46M,40.00,,"Furnishings, Fixtures & Appliances",,,
SANN.SW,Santhera Pharmaceuticals Holding AG,243.29M,16.22,,Biotechnology,,,
ASCN.SW,Ascom Holding AG,221.36M,6.51,,Health Information Services,,,
STGN.SW,StarragTornos Group AG,184.65M,34.00,,Specialty Industrial Machinery,,,
ZUBN.SW,Züblin Immobilien Holding AG,173.74M,52.40,,Real Estate Services,,,
TIBN.SW,Bergbahnen Engelberg-Trübsee-Titlis AG,170.87M,51.00,,Leisure,,,
GURN.SW,Gurit Holding AG,157.89M,34.40,,Specialty Chemicals,,,
BIOV.SW,BioVersys AG,155.73M,26.60,,Biotechnology,,,
FTON.SW,Feintool International Holding AG,147.21M,10.00,,Specialty Industrial Machinery,,,
MCHN.SW,MCH Group AG,140.77M,4.590,,Advertising Agencies,,,
VARN.SW,Varia US Properties AG,137.71M,13.60,,Real Estate Services,,,
LECN.SW,Leclanché SA,135.10M,0.0844,,Electrical Equipment & Parts,,,
XLS.SW,Xlife Sciences AG,131.15M,23.00,,Biotechnology,,,
CALN.SW,CALIDA Holding AG,120.34M,16.98,,Apparel Manufacturing,,,
MOLN.SW,Molecular Partners AG,117.79M,3.100,,Biotechnology,,,
CURN.SW,Curatis Holding AG,114.46M,22.20,,Drug Manufacturers - Specialty & Generic,,,
KLIN.SW,Klingelnberg AG,111.83M,12.55,,Specialty Industrial Machinery,,,
GAV.SW,Carlo Gavazzi Holding AG,105.19M,148.00,,Electrical Equipment & Parts,,,
BBN.SW,Bellevue Group AG,101.95M,7.54,,Asset Management,,,
ORON.SW,ORIOR AG,86.49M,13.22,,Packaged Foods,,,
YTME.SW,Youngtimers AG,83.50M,0.430,,Shell Companies,,,
GMI.SW,Groupe Minoteries SA,81.84M,248.00,,Farm Products,,,
ESUN.SW,Edisun Power Europe AG,76.16M,66.40,,Utilities - Renewable,,,
ALPN.SW,Alpine Select AG,75.78M,9.00,,Asset Management,,,
ALPNE.SW,Alpine Select AG,75.78M,8.80,,"Investors, not elsewhere classified",,,
GAM.SW,GAM Holding AG,74.85M,0.0676,,Asset Management,,,
KUD.SW,Kudelski SA,67.12M,1.200,,Software - Application,,,
VILN.SW,Villars Holding S.A.,62.09M,595.00,,Grocery Stores,,,
HLEE.SW,Highlight Event and Entertainment AG,58.51M,4.520,,Entertainment,,,
WIHN.SW,WISeKey International Holding AG,55.23M,12.82,,Semiconductors,,,
NBEN.SW,nebag ag,55.22M,6.05,,Asset Management,,,
MMTX.SW,MindMaze Therapeutics Holding SA,51.88M,0.340,,Biotechnology,,,
ADVN.SW,Adval Tech Holding AG,32.85M,45.00,,Metal Fabrication,,,
VLRT.SW,Valartis Group AG,31.10M,10.60,,Capital Markets,,,
STRN.SW,Schlatter Industries AG,20.77M,18.80,,Specialty Industrial Machinery,,,
EVE.SW,EvoNext Holdings SA,12.76M,1.770,,Shell Companies,,,
ZWM.SW,Zwahlen & Mayr SA,10.04M,144.00,,Steel,,,
ASWN.SW,Asmallworld AG,8.32M,0.575,,Travel Services,,,
ADXN.SW,Addex Therapeutics Ltd,6.39M,0.0432,,Biotechnology,,,
PEDU.SW,Perrot Duval Holding S.A.,6.32M,47.60,,Specialty Industrial Machinery,,,
EEII.SW,EEII AG,1.60M,2.040,,Asset Management,,,
