Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:GOT,Goliath Resources Limited,TSX Venture Exchange,Other Precious Metals & Mining,244658820
TSXV:VROY,Vizsla Royalties Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,243236605
TSXV:AMT,AmeriTrust Financial Technologies Inc.,TSX Venture Exchange,Software - Application,162187953
TSXV:LRA,Lara Exploration Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,194833440
TSXV:HME,Hemisphere Energy Corporation,TSX Venture Exchange,Oil & Gas Exploration & Production,229360653
TSXV:CAPT,Capitan Silver Corp.,TSX Venture Exchange,Other Precious Metals & Mining,195223519
TSXV:NURS,Hydreight Technologies Inc.,TSX Venture Exchange,Health Information Services,230761360
TSXV:AAG,Aftermath Silver Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,222060150
TSXV:ZNG,Group Eleven Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,225726149
TSXV:AHR,Amarc Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,225327000
TSXV:SURG,Surge Copper Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,219097600
TSXV:CERT,Cerrado Gold Inc.,TSX Venture Exchange,Gold,217083552
TSXV:MLP,Millennial Potash Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,218694050
TSXV:SCMI,Selkirk Copper Mines Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,219210736
TSXV:LIB,LibertyStream Infrastructure Partners Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,241533360
TSXV:MFG,Mayfair Gold Corp.,TSX Venture Exchange,Gold,183576644
TSXV:SUGR,Sucro Limited,TSX Venture Exchange,Confectioners,216625401
TSXV:ARK,Arras Minerals Corp.,TSX Venture Exchange,Other Precious Metals & Mining,211601192
TSXV:LIFT,Li-FT Power Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,213828259
TSXV:OGN,Orogen Royalties Inc.,TSX Venture Exchange,Gold,211923540
TSXV:AE,American Eagle Gold Corp.,TSX Venture Exchange,Gold,174939320
TSXV:RVG,Revival Gold Inc.,TSX Venture Exchange,Gold,180170760
TSXV:DE,Decisive Dividend Corporation,TSX Venture Exchange,Conglomerates,205204355
TSXV:GPH,Graphite One Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,167405979
