Ticker,Company,Market Cap,Stock Price,Industry
REP.AX,RAM Essential Services Property Fund,235500636,0.47,Asset Management
AR1.AX,Austral Resources Australia Ltd,51150462,0.094,Copper
HLO.AX,Helloworld Travel Limited,232425836,1.42,Travel Services
KGL.AX,KGL Resources Limited,223702810,0.29,Other Industrial Metals & Mining
FTI.AX,Fortifai Limited,104160672,0.72,Electronic Gaming & Multimedia
NTU.AX,Northern Minerals Limited,194301872,0.024,Other Industrial Metals & Mining
AI1.AX,Adisyn Ltd,148771700,0.22,Information Technology Services
IMB.AX,Intelligent Monitoring Group Limited,185577992,0.555,Security & Protection Services
BGD.AX,Barton Gold Holdings Limited,228530428,0.955,Gold
OCC.AX,Orthocell Limited,185435841,0.835,Biotechnology
ADH.AX,Adairs Limited,226840576,1.27,Specialty Retail
RIV.AX,Rivco Australia Ltd,230281900,1.405,
CUP.AX,Count Limited,179132148,1.06,Specialty Business Services
LAU.AX,Lindsay Australia Limited,221582193,0.605,Trucking
TTM.AX,Titan Minerals Limited,219950157,0.765,Gold
WRK.AX,Wrkr Ltd,219481778,0.11,Software - Infrastructure
CCV.AX,Cash Converters International Limited,217014495,0.305,Specialty Retail
BIS.AX,Bisalloy Steel Group Limited,214743270,4.47,Steel
ARX.AX,Aroa Biosurgery Limited,214459860,0.62,Medical Devices
BET.AX,Betmakers Technology Group Ltd,212853632,0.19,Gambling
SPD.AX,Southern Palladium Limited,173317765,1.625,Other Precious Metals & Mining
GDF.AX,Garda Property Group,225188055,1.035,Real Estate Services
WAR.AX,WAM Strategic Value Limited,204442739,1.135,Asset Management
6KA.AX,"6K Additive, Inc.",203123360,0.775,Other Industrial Metals & Mining
LED.AX,LDR Capital Property Fund,203500992,0.5,Real Estate Services
FDR.AX,Finder Energy Holdings Limited,219611451,0.405,Oil & Gas Exploration & Production
OMH.AX,OM Holdings Limited,202545860,0.265,Other Industrial Metals & Mining
WJL.AX,Webjet Group Limited,202153136,0.505,Travel Services
HRN.AX,Horizon Gold Limited,183469780,1.03,Gold
TGF.AX,Tribeca Global Natural Resources Limited,200447207,2.72,Asset Management
LAM.AX,Laramide Resources Ltd.,219831280,0.775,Uranium
NVX.AX,NOVONIX Limited,198312384,0.23,Electrical Equipment & Parts
KIT.AX,The Trustee For Kapstream Investment Trust,,1.93,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices"
CAA.AX,Capral Limited,195111921,12.19,Aluminum
KOV.AX,Korvest Ltd,195947657,16.56,Metal Fabrication
MKR.AX,Manuka Resources Limited,125923850,0.13,Other Precious Metals & Mining
IKE.AX,ikeGPS Group Limited,193989249,1,Scientific & Technical Instruments
LKE.AX,Lake Resources NL,151602612,0.084,Other Industrial Metals & Mining
LKEO.AX,Lake Resources NL,,0.058,Metal Mining
BBN.AX,Baby Bunting Group Limited,194300042,1.435,Specialty Retail
FRI.AX,Finbar Group Limited,193207431,0.71,Real Estate - Development
