Ticker,Company,Market Cap,Country
NXR-UN.TO,Nexus Industrial REIT,581.01M,Canada
OBE.TO,Obsidian Energy Ltd.,1.15B,Canada
OCG.TO,Outcrop Silver & Gold Corporation,181.09M,Canada
OGC.TO,OceanaGold Corporation,9.77B,Canada
OGD.TO,Orbit Garant Drilling Inc.,70.59M,Canada
OGI.TO,Organigram Global Inc.,264.40M,Canada
OLA.TO,Orla Mining Ltd.,7.09B,Canada
OLY.TO,Olympia Financial Group Inc.,292.88M,Canada
OM.TO,Osisko Metals Incorporated,1.28B,Canada
ONEX.TO,Onex Corporation,8.81B,Canada
OR.TO,OR Royalties Inc.,9.86B,Canada
ORE.TO,Orezone Gold Corporation,1.48B,Canada
ORIO.TO,Orion Digital Corp.,32.30M,Canada
ORV.TO,Orvana Minerals Corp.,255.49M,Canada
OTEX.TO,Open Text Corporation,8.21B,Canada
PAAS.TO,Pan American Silver Corp.,34.10B,Canada
PBH.TO,Premium Brands Holdings Corporation,4.68B,Canada
PBL.TO,Pollard Banknote Limited,485.32M,Canada
PD.TO,Precision Drilling Corporation,1.56B,Canada
PET.TO,Pet Valu Holdings Ltd.,1.38B,Canada
PEY.TO,Peyto Exploration & Development Corp.,5.12B,Canada
PHX.TO,PHX Energy Services Corp.,506.40M,Canada
PIF.TO,Polaris Renewable Energy Inc.,261.95M,Canada
PLZ-UN.TO,Plaza Retail REIT,494.88M,Canada
PMET.TO,PMET Resources Inc.,1.33B,Canada
PMZ-UN.TO,Primaris Real Estate Investment Trust,2.26B,Canada
PNC-A.TO,Postmedia Network Canada Corp.,93.09M,Canada
PNC-B.TO,Postmedia Network Canada Corp.,93.09M,Canada
PNE.TO,Pine Cliff Energy Ltd.,222.45M,Canada
PNP.TO,Pinetree Capital Ltd.,84.48M,Canada
POU.TO,Paramount Resources Ltd.,4.23B,Canada
POW.TO,Power Corporation of Canada,49.66B,Canada
PPL.TO,Pembina Pipeline Corporation,36.39B,Canada
PPR.TO,Prairie Provident Resources Inc.,23.14M,Canada
PPTA.TO,Perpetua Resources Corp.,5.13B,Canada
PRL.TO,Propel Holdings Inc.,924.61M,Canada
PRN.TO,Profound Medical Corp.,342.30M,Canada
PRQ.TO,Petrus Resources Ltd.,274.07M,Canada
PRV-UN.TO,Pro Real Estate Investment Trust,415.68M,Canada
PSD.TO,Pulse Seismic Inc.,182.57M,Canada
PSI.TO,Pason Systems Inc.,1.13B,Canada
PSK.TO,PrairieSky Royalty Ltd.,7.70B,Canada
PTM.TO,Platinum Group Metals Ltd.,310.72M,Canada
PXT.TO,Parex Resources Inc.,2.68B,Canada
PYR.TO,PyroGenesis Inc.,90.91M,Canada
PZA.TO,Pizza Pizza Royalty Corp.,475.63M,Canada
QBR-A.TO,Quebecor Inc.,12.78B,Canada
QBR-B.TO,Quebecor Inc.,12.78B,Canada
QEC.TO,Questerre Energy Corporation,148.85M,Canada
QSP-UN.TO,Restaurant Brands International Limited Partnership,35.15B,Canada
QSR.TO,Restaurant Brands International Inc.,37.86B,Canada
QTRH.TO,Quarterhill Inc.,178.77M,Canada
RAY.TO,Stingray Group Inc.,1.01B,Canada
