Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
HRPK.DE,7C Solarparken AG,149994869,1.87,-1.32%,Solar,27025,-18.55,4.48%
MZX.DE,Masterflex SE,138984926,14.4,-0.35%,Specialty Chemicals,2546,15.48,3.97%
VME.DE,Viromed Medical AG,,6.55,-1.50%,"Medical, Dental, and Hospital Equipment and Supplies",0,,26.61%
4DS.DE,Daldrup & Söhne Aktiengesellschaft,135294629,21.9,-3.10%,Oil & Gas Drilling,4447,53.86,-11.16%
JY0.DE,ParTec AG,128800000,16.1,,Computer Hardware,0,,-19.50%
EVAC.DE,electrovac AG,,8.59,0.59%,"Electronic Components, not elsewhere classified",0,,
AAD.DE,Amadeus FiRe AG,130100160,22.6,-5.64%,Staffing & Employment Services,11665,-54.43,1.11%
HPHA.DE,Heidelberg Pharma AG,127721185,2.71,-1.81%,Biotechnology,1839,-3.14,-0.73%
KTA.DE,Knaus Tabbert AG,129300647,12.34,-0.32%,Recreational Vehicles,5593,-3.5,5.06%
M7U.DE,Nynomic AG,129569975,19.95,2.05%,Scientific & Technical Instruments,60724,-49.31,26.12%
BIKE.DE,Bike24 Holding AG,125429813,2.83,2.91%,Internet Retail,7191,88.96,-4.71%
SJJ.DE,Serviceware SE,111300000,10.95,-6.01%,Software - Application,37537,1076.09,-10.66%
GMM.DE,Grammer AG,119262976,8.15,0.62%,Auto Parts,843,7.32,-2.98%
DEF.DE,DEFAMA Deutsche Fachmarkt AG,114240000,24.6,2.93%,Real Estate Services,1079,24.54,-3.23%
FC9.DE,FCR Immobilien AG,114497243,11.6,,Real Estate Services,1482,9.14,
PYR.DE,Pyrum Innovations AG,113755600,26.6,-1.12%,Pollution & Treatment Controls,0,,2.70%
A7A.DE,Heliad AG,120757691,13.25,2.32%,Asset Management,1686,1.1,-3.94%
SWA.DE,Schloss Wachenheim AG,108108000,13.65,,Beverages - Wineries & Distilleries,322,13.24,-0.73%
MBK.DE,Merkur PrivatBank KgaA,107346750,14.2,4.41%,Banks - Regional,362,7.33,-12.35%
LQAG.DE,Laiqon AG,93437996,4.32,-2.48%,Asset Management,7597,-10.05,2.32%
BRNK.DE,Branicks Group AG,102367738,1.14,-6.94%,Real Estate Services,252639,-0.35,-15.77%
DAM.DE,DATA MODUL Aktiengesellschaft Produktion und Vertrieb von elektronischen Systemen,98733096,28.8,2.86%,Electronic Components,710,-21.54,8.27%
BDT.DE,Bertrandt Aktiengesellschaft,92163254,9.34,-3.71%,Auto Parts,47976,-1.74,-36.19%
